id,cnnaff,Smiles
15315,-4.71785,[H]SC([H])([H])N(C([H])([H])[H])C([H])([H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])N([H])C([H])([H])c1c(C([H])(F)F)c([H])c(=O)n([H])c1[H]
15316,-4.71733,[H]ON([H])C(=O)C([H])=C(OC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c1c([H])c([H])c(=O)n([H])c1[H]
15317,-4.71723,[H]C(=C1SC(=S)N([H])C1=O)c1c([H])c(SC([H])([H])C(=O)OC([H])([H])[H])c([H])c(=O)n1[H]
15318,-4.71706,[H]Sc1c([H])c([H])n(N2C([H])([H])[C@]([H])(C(=O)N([H])N([H])[H])c3c([H])c([H])c([H])c([H])c3[C@@]2([H])c2nnn([H])n2)c(=O)c1[H]
15319,-4.7149,[H]N=C(N([H])[H])[C@]([H])(O[H])C([H])([H])OSc1c(OC([H])([H])C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])c([H])n([H])c(=O)c1C(=O)N([H])N([H])[H]
15320,-4.71472,[H]c1oc([H])c(-n2c([H])c([H])c(OC([H])([H])[C@@]([H])(N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])N3C([H])([H])C([H])([H])OC([H])([H])C3([H])[H])c([H])c2=O)c1[H]
15321,-4.71426,[H]c1c(C([H])([H])N([H])C([H])([H])OC([H])([H])[C@@]2([H])C([H])([H])C([H])([H])N([H])C([H])([H])[C@@]2([H])c2c([H])c3c([H])c([H])c([H])c([H])c3n2[H])c([H])n([H])c(=O)c1[H]
15322,-4.71202,[H]c1c(SN([H])C(=O)OC([H])([H])C([H])([H])N2C([H])([H])C([H])([H])O[C@]([H])(C([H])([H])C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])C2([H])[H])c([H])c(=O)n([H])c1[H]
15323,-4.70992,[H]c1c([H])c([H])n([H])c(=O)c1C(=O)N([H])[C@]([H])(N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])[C@]([H])(C([H])([H])N([H])[H])C([H])([H])C([H])([H])[H]
15324,-4.70982,[H]c1c([H])c(F)c(-n2c([H])c([H])c([H])c(C3([H])C([H])([H])C3([H])[H])c2=O)c(F)c1[H]
15325,-4.70957,[H]c1c([H])c([H])n([H])c(=O)c1[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])C(=O)N([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
15326,-4.70843,[H]ON([H])C(=O)C([H])=C([H])c1c([H])c(C([H])([H])C(=O)N(O[H])OC([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])N([H])C([H])([H])[H])c(=O)n([H])c1[H]
15327,-4.70796,[H]OC(=O)c1c([C@]([H])(c2c([H])c([H])c([H])c(=O)n2[H])C(F)(F)P(=O)(O[H])O[H])c(C([H])([H])[H])nn1[H]
15328,-4.70755,[H]c1c([H])c(C([H])([H])OC([H])([H])C([H])([H])N([H])C(=O)[C@@]([H])(Sc2c([H])c([H])n([H])c(=O)c2[H])C(=O)OC([H])([H])[H])c([H])c([H])c1C([H])([H])[H]
15329,-4.70641,[H]OC(=O)c1c(C([H])([H])c2c(C([H])([H])C(=O)N([H])C([H])([H])[H])c(OC([H])([H])[H])c([H])c(=O)n2[H])c(C([H])([H])[H])nn1[H]
15330,-4.70526,[H]c1nc(OC([H])([H])[H])c([H])c([H])c1C([H])([H])Sc1c([H])c([H])n([H])c(=O)c1[H]
